ltr,tbl,dy,de,bm,tms,dfy,dfr,infl,ntis,ret
-0.0057,0.0015,0.047773,0.565957,0.729393,0.0261,0.0229,0.0099,0,0.019298,0.038135
0.0092,0.0015,0.045929,0.54321,0.681818,0.0255,0.0216,0.002,-0.007246,0.019344,0.070533
0.0046,0.0015,0.043011,0.554622,0.639309,0.0253,0.0211,0.0065,0,0.01741,0.083814
-0.0133,0.0016,0.039711,0.566523,0.633687,0.0265,0.0198,0.0091,0,0.004982,0.026569
0.0009,0.002,0.038869,0.578947,0.611734,0.0262,0.0194,-0.0009,0,0.008027,0.025526
0.0061,0.002,0.038827,0.592105,0.577501,0.0259,0.0202,-0.0019,0,0.002951,0.071803
0.001,0.0016,0.036918,0.605263,0.566952,0.0264,0.0196,0.0059,0.007299,0.002219,0.051943
0.007,0.0015,0.036293,0.618421,0.559911,0.0261,0.0186,0.0013,0,0.008689,0.039887
0.0055,0.002,0.035741,0.623377,0.539835,0.0265,0.0163,0.0027,0,0.008908,0.071832
0.0081,0.002,0.034242,0.628205,0.529076,0.0261,0.0148,-0.0027,0,0.01376,0.022461
0.0106,0.002,0.034364,0.632911,0.527696,0.0255,0.0157,-0.0024,-0.007246,0.013456,0.024029
0.0035,0.002,0.034629,0.630082,0.566349,0.0254,0.0162,-0.0009,0,0.019253,-0.077588
0.004,0.002,0.038732,0.627451,0.540487,0.0253,0.0167,0,0,0.018628,0.053106
0.0021,0.002,0.038194,0.625,0.523178,0.0253,0.0166,0.0061,0.007299,0.020813,0.032542
0.006,0.0015,0.03841,0.633333,0.500425,0.0256,0.0161,-0.0049,0.007246,0.021747,0.073442
0.0111,0.002,0.037224,0.641304,0.496121,0.0244,0.0153,-0.0044,0.007194,0.019666,0.014124
-0.0031,0.0016,0.038149,0.648936,0.491598,0.0252,0.0144,0.0098,0,0.021398,0.004817
0.0006,0.0013,0.040391,0.668966,0.465707,0.0256,0.0136,0.0019,0,0.021804,0.076281
0.0205,0.0011,0.039706,0.687919,0.450278,0.0246,0.0137,-0.0096,0,0.022841,0.010666
0.0038,0.0012,0.041667,0.705882,0.458588,0.0243,0.0143,-0.0028,0,0.025225,-0.00383
-0.0013,0.0017,0.042491,0.695238,0.446574,0.0241,0.0139,0.0037,0.007143,0.025003,0.036648
0.0086,0.0015,0.041503,0.685185,0.440776,0.0238,0.0131,-0.0132,0,0.025208,0.018483
-0.0411,0.0038,0.041459,0.675676,0.458666,0.0247,0.0136,0.0297,0.007092,0.033507,-0.003511
0.0039,0.0056,0.043527,0.690265,0.490618,0.0228,0.0142,0.0029,0.007042,0.028107,-0.080646
0.0053,0.0041,0.0493,0.704348,0.489382,0.0241,0.0151,-0.0013,0.006993,0.028278,-0.005699
-0.0018,0.0036,0.051661,0.717949,0.504961,0.0249,0.0165,0.0071,0,0.031266,-0.053803
